content_id,content_title,content_kind,topic,url
CT0001,Asset 0001,ebook,Edge AI,https://example.com/asset-0001
CT0002,Asset 0002,webpage,SaaS Ops,https://example.com/asset-0002
CT0003,Asset 0003,webpage,Zero Trust,https://example.com/asset-0003
CT0004,Asset 0004,ebook,DevSecOps,https://example.com/asset-0004
CT0005,Asset 0005,case_study,Data Security,https://example.com/asset-0005
CT0006,Asset 0006,email_template,MLOps,https://example.com/asset-0006
CT0007,Asset 0007,landing_page,Zero Trust,https://example.com/asset-0007
CT0008,Asset 0008,datasheet,Observability,https://example.com/asset-0008
CT0009,Asset 0009,landing_page,IoT Security,https://example.com/asset-0009
CT0010,Asset 0010,landing_page,SaaS Ops,https://example.com/asset-0010
CT0011,Asset 0011,video,Data Security,https://example.com/asset-0011
CT0012,Asset 0012,blog,Backup,https://example.com/asset-0012
CT0013,Asset 0013,video,Backup,https://example.com/asset-0013
CT0014,Asset 0014,case_study,Kubernetes,https://example.com/asset-0014
CT0015,Asset 0015,email_template,IoT Security,https://example.com/asset-0015
CT0016,Asset 0016,email_template,Edge AI,https://example.com/asset-0016
CT0017,Asset 0017,datasheet,Cloud Migration,https://example.com/asset-0017
CT0018,Asset 0018,email_template,Kubernetes,https://example.com/asset-0018
CT0019,Asset 0019,video,Kubernetes,https://example.com/asset-0019
CT0020,Asset 0020,video,Zero Trust,https://example.com/asset-0020
CT0021,Asset 0021,video,DevSecOps,https://example.com/asset-0021
CT0022,Asset 0022,landing_page,Backup,https://example.com/asset-0022
CT0023,Asset 0023,landing_page,SaaS Ops,https://example.com/asset-0023
CT0024,Asset 0024,template,Zero Trust,https://example.com/asset-0024
CT0025,Asset 0025,email_template,IoT Security,https://example.com/asset-0025
CT0026,Asset 0026,datasheet,SaaS Ops,https://example.com/asset-0026
CT0027,Asset 0027,whitepaper,Edge AI,https://example.com/asset-0027
CT0028,Asset 0028,datasheet,MLOps,https://example.com/asset-0028
CT0029,Asset 0029,webpage,Backup,https://example.com/asset-0029
CT0030,Asset 0030,whitepaper,SaaS Ops,https://example.com/asset-0030
CT0031,Asset 0031,datasheet,Zero Trust,https://example.com/asset-0031
CT0032,Asset 0032,blog,Observability,https://example.com/asset-0032
CT0033,Asset 0033,video,Kubernetes,https://example.com/asset-0033
CT0034,Asset 0034,datasheet,Observability,https://example.com/asset-0034
CT0035,Asset 0035,datasheet,DevSecOps,https://example.com/asset-0035
CT0036,Asset 0036,blog,DevSecOps,https://example.com/asset-0036
CT0037,Asset 0037,case_study,Backup,https://example.com/asset-0037
CT0038,Asset 0038,landing_page,Observability,https://example.com/asset-0038
CT0039,Asset 0039,template,Observability,https://example.com/asset-0039
CT0040,Asset 0040,webpage,MLOps,https://example.com/asset-0040
CT0041,Asset 0041,case_study,Data Security,https://example.com/asset-0041
CT0042,Asset 0042,email_template,SaaS Ops,https://example.com/asset-0042
CT0043,Asset 0043,whitepaper,IoT Security,https://example.com/asset-0043
CT0044,Asset 0044,case_study,MLOps,https://example.com/asset-0044
CT0045,Asset 0045,case_study,Cloud Migration,https://example.com/asset-0045
CT0046,Asset 0046,template,Data Security,https://example.com/asset-0046
CT0047,Asset 0047,webpage,DevSecOps,https://example.com/asset-0047
CT0048,Asset 0048,template,SaaS Ops,https://example.com/asset-0048
CT0049,Asset 0049,blog,Data Security,https://example.com/asset-0049
CT0050,Asset 0050,case_study,Zero Trust,https://example.com/asset-0050
CT0051,Asset 0051,blog,Observability,https://example.com/asset-0051
CT0052,Asset 0052,datasheet,MLOps,https://example.com/asset-0052
CT0053,Asset 0053,landing_page,DevSecOps,https://example.com/asset-0053
CT0054,Asset 0054,blog,IoT Security,https://example.com/asset-0054
CT0055,Asset 0055,ebook,Zero Trust,https://example.com/asset-0055
CT0056,Asset 0056,datasheet,GenAI,https://example.com/asset-0056
CT0057,Asset 0057,template,Data Security,https://example.com/asset-0057
CT0058,Asset 0058,case_study,Data Security,https://example.com/asset-0058
CT0059,Asset 0059,video,Backup,https://example.com/asset-0059
CT0060,Asset 0060,video,GenAI,https://example.com/asset-0060
CT0061,Asset 0061,whitepaper,SaaS Ops,https://example.com/asset-0061
CT0062,Asset 0062,whitepaper,Kubernetes,https://example.com/asset-0062
CT0063,Asset 0063,video,SaaS Ops,https://example.com/asset-0063
CT0064,Asset 0064,template,MLOps,https://example.com/asset-0064
CT0065,Asset 0065,datasheet,SaaS Ops,https://example.com/asset-0065
CT0066,Asset 0066,video,DevSecOps,https://example.com/asset-0066
CT0067,Asset 0067,template,Zero Trust,https://example.com/asset-0067
CT0068,Asset 0068,webpage,Zero Trust,https://example.com/asset-0068
CT0069,Asset 0069,datasheet,Data Security,https://example.com/asset-0069
CT0070,Asset 0070,ebook,Cloud Migration,https://example.com/asset-0070
CT0071,Asset 0071,email_template,SaaS Ops,https://example.com/asset-0071
CT0072,Asset 0072,template,Observability,https://example.com/asset-0072
